In_Type,Com_Tr_Num,Date_Com,Date_Com_Re,Date_Complete,Com_Class,In_Status,Disp,B_Com,Div_Com,Un_Com,Detail,WorkSta,ShiftCom,Rule,Par,UnOff_ID,Off_R_Eth,Off_Gen,Off_Age,Off_Year,Com_Gen,Com_Eth,Com_Age
Public Initiated,2018-0103-P,U,2018/2/12,2019/2/20,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Narcotics,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,33757,Black,M,U,U,F,B,U
Public Initiated,2018-0103-P,U,2018/2/12,2019/2/20,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Narcotics,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,33758,Hispanic,F,U,U,F,B,U
Rank Initiated,2018-0097-P,U,2018/1/30,2018/7/5,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33759,Black,M,U,U,U,U,U
Rank Initiated,2018-0097-P,U,2018/1/30,2018/7/5,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33769,Black,M,U,U,U,U,U
Rank Initiated,2018-0023-R,U,2018/1/12,2018/7/23,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,1st Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 01 - REPORTING FOR DUTY,33771,Black,F,U,U,U,U,U
Rank Initiated,2017-0727-R,U,2017/12/28,2019/1/30,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Staff,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,33798,Black,M,U,U,U,U,U
Rank Initiated,2017-0694-D,U,2017/12/18,2017/12/13,DI-2,Completed,Other,U,U,U,U,Unknown Working Status,Unknown Shift Hours,U,U,33799,Black,F,U,U,U,U,U
Public Initiated,2017-0700-P,U,2017/12/15,2018/4/10,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,1st District,1st Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33801,White,F,U,U,F,B,U
Rank Initiated,2017-0643-R,U,2017/11/13,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,Admin Unit,,Unknown Shift Hours,U,U,33830,Black,M,U,U,U,U,U
Public Initiated,2017-0611-P,U,2017/10/24,2018/9/26,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Juvenile Section,3rd Platoon,,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,33832,Black,M,U,U,U,U,U
Public Initiated,2023-0087-N,2023/2/20,2023/2/20,2023/3/15,NFIM,Completed,NFIM,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33838,Not Specified,U,U,U,M,W,34
Public Initiated,2017-0611-P,U,2017/10/24,2018/9/26,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Criminal Investigations Division,Juvenile Section,3rd Platoon,,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,33842,Black,M,U,U,U,U,U
Rank Initiated,2017-0609-R,U,2017/10/20,2018/2/22,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section,Platoon B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33844,Black,F,U,U,U,U,U
Rank Initiated,2017-0609-R,U,2017/10/20,2018/2/22,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section,Platoon B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33846,Black,F,U,U,U,U,U
Rank Initiated,2017-0609-R,U,2017/10/20,2018/2/22,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section,Platoon B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33851,Black,M,U,U,U,U,U
Rank Initiated,2017-0609-R,U,2017/10/20,2018/2/22,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section,Platoon B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33858,Black,M,U,U,U,U,U
Rank Initiated,2017-0606-D,U,2017/10/19,2017/10/31,DI-2,Completed,Other,FOB - Field Operations Bureau,4th District,1st Platoon,U,Unknown Working Status,Unknown Shift Hours,U,U,33869,Black,F,U,U,U,U,U
Public Initiated,2017-0594-P,U,2017/10/2,2018/1/24,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,U,Bourbon Street,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,33871,Black,M,U,U,F,B,U
Rank Initiated,2017-0583-R,U,2017/10/9,2018/6/28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Narcotics,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33873,White,F,U,U,U,U,U
Public Initiated,U,U,2023/2/23,U,U,Initial,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,U,U,33897,Not Specified,U,U,U,U,U,U
Rank Initiated,2017-0583-R,U,2017/10/9,2018/6/28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Narcotics,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33899,Asian/Pacific Islander,M,U,U,U,U,U
Rank Initiated,2017-0580-P,U,2017/10/6,2017/11/28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,6th District,Patrol,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,33902,Black,F,U,U,M,W,U
Rank Initiated,2017-0580-P,U,2017/10/6,2017/11/28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,6th District,Patrol,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,33905,White,M,U,U,M,W,U
Public Initiated,2023-0072-P,U,2023/2/11,U,DI-1,Active,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,33911,Not Specified,U,U,U,F,B,U
Rank Initiated,2017-0580-P,U,2017/10/6,2017/11/28,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,6th District,6th District,Patrol,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,33912,Black,M,U,U,M,W,U
Rank Initiated,2017-0572-R,U,2017/10/9,2018/9/26,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,U,U,33930,White,M,U,U,U,U,U
Rank Initiated,2023-0042,U,2023/2/1,2023/3/13,U,Completed,Other,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,U,33934,Not Specified,U,U,U,U,U,U
Rank Initiated,2017-0559-R,U,2017/10/6,2017/11/2,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33935,White,M,U,U,U,U,U
Rank Initiated,2023-0080-P,2023/2/17,2023/2/20,2023/5/19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,5th District,Night Watch,Night Watch,Regular Working,Between 11pm-7am,RULE 2: MORAL CONDUCT,PARAGRAPH 06 - UNAUTHORIZED FORCE,33938,Not Specified,U,U,U,F,B,36
Rank Initiated,2017-0550-R,U,2017/10/3,2017/12/27,DI-1,Completed,Other,FOB - Field Operations Bureau,Police Recruits,U,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,33943,White,M,U,U,U,U,U
Rank Initiated,2017-0558-R,U,2017/10/9,2017/12/27,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,Staff,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33943,White,M,U,U,U,U,U
Rank Initiated,2017-0558-R,U,2017/10/9,2017/12/27,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,Staff,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33943,Black,M,U,U,U,U,U
Public Initiated,U,U,2023/2/13,U,U,Initial,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,U,U,33945,Not Specified,U,U,U,U,U,U
Public Initiated,U,U,2023/2/13,U,U,Initial,Pending,U,U,U,U,Unknown Working Status,Unknown Shift Hours,U,U,33945,Not Specified,U,U,U,U,U,U
Rank Initiated,2017-0541-R,U,2017/10/2,2018/3/13,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Night Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33945,Black,M,U,U,U,U,U
Public Initiated,2017-0538-P,U,2017/9/27,2018/6/27,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section ,Crime Lab Admin,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,33947,Black,F,U,U,F,B,U
Public Initiated,2017-0530-P,U,2017/9/21,2018/8/30,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,Staff,Squad 2,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33957,Black,M,U,U,F,U,U
Public Initiated,2017-0530-P,U,2017/9/21,2018/8/30,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,Staff,Squad 2,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33957,Black,M,U,U,F,U,U
Public Initiated,2017-0538-P,U,2017/9/27,2018/6/27,DI-1,Completed,Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section ,Crime Lab Admin,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 02 - COURTESY,33957,Black,F,U,U,M,B,U
Public Initiated,2023-0069-P,2023/1/24,2023/2/2,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,3rd District,Patrol,Regular Working,Between 7am-7:15pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33969,Not Specified,U,U,U,F,U,U
Public Initiated,2023-0069-P,2023/1/24,2023/2/2,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,3rd District,3rd District,Patrol,Regular Working,Between 7am-7:15pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33971,Not Specified,U,U,U,F,B,55
Public Initiated,2017-0530-P,U,2017/9/21,2018/8/30,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,Staff,Squad 2,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33979,Black,M,U,U,F,U,U
Public Initiated,2017-0530-P,U,2017/9/21,2018/8/30,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,Staff,Squad 2,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33981,White,F,U,U,F,U,U
Public Initiated,2017-0530-P,U,2017/9/21,2018/8/30,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,Staff,Squad 2,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33983,Black,F,U,U,F,U,U
Public Initiated,2017-0530-P,U,2017/9/21,2018/8/30,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,1st District,Staff,Squad 2,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33985,White,F,U,U,F,U,U
Public Initiated,2017-0520-P,U,2017/9/20,2019/3/28,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,U,RUI 2012-0947-C,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,33988,Black,M,U,U,M,A,U
Rank Initiated,2017-0494-D,U,2017/9/6,2017/9/20,DI-2,Completed,Other,FOB - Field Operations Bureau,1st District,Narcotics,U,Unknown Working Status,Unknown Shift Hours,U,U,33991,Asian/Pacific Islander,M,U,U,U,U,U
Rank Initiated,2017-0477-R,U,2017/8/9,2018/9/26,DI-1,Completed,Sustained,FOB - Field Operations Bureau,3rd District,C Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 13 - Social Networking...etc.,33993,Black,M,U,U,U,U,U
Rank Initiated,2017-0417-R,U,2017/8/4,2017/9/29,DI-1,Completed,Other,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,33998,Black,F,U,U,U,U,U
Public Initiated,2017-0407-P,U,2017/7/28,2017/12/5,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,Narcotics,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 03 - DEVOTING ENTIRE TIME TO DUTY,34000,Black,M,U,U,F,B,U
Public Initiated,2017-0393-P,U,2017/7/18,2017/11/24,DI-1,Completed,Unfounded,MSB - Management Services Bureau,Administrative Duties Services,Alternative Police Response Unit,Support Staff,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34003,White,M,U,U,U,U,U
Public Initiated,2017-0377-P,U,2017/7/3,2017/12/1,DI-1,Completed,Other,PIB - Public Integrity Bureau,Administrative Investigation Section,Administrative Investigation Section,Investigations,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34023,Black,M,U,U,F,B,U
Rank Initiated,2017-0350-R,U,2017/6/27,2018/10/29,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,Staff,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,34026,White,F,U,U,U,U,U
Public Initiated,2017-0240-P,U,2017/4/26,2017/8/15,DI-1,Completed,Not Sustained,ISB - Investigative Services Bureau,Criminal Investigations Division,Homicide Section,Investigations,Off Duty,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34032,White,F,U,U,U,U,U
Rank Initiated,2017-0189-R,U,2017/4/5,2017/8/17,DI-1,Completed,Unfounded,MSB - Management Service Bureau,Education/Training & Recruitment Division,Recruitment Division,Staff,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 12 - RETALIATION,34034,White,M,U,U,U,U,U
Rank Initiated,2017-0189-R,U,2017/4/5,2017/8/17,DI-1,Completed,Unfounded,MSB - Management Service Bureau,Education/Training & Recruitment Division,Recruitment Division,Staff,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 12 - RETALIATION,34039,Black,M,U,U,U,U,U
Public Initiated,2017-0123-N,2017/2/26,2017/3/23,2017/5/31,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34041,White,M,U,U,M,U,U
Public Initiated,2017-0149-N,U,2017/3/13,2017/6/12,NFIM,Completed,NFIM,FOB - Field Operations Bureau,2nd District,B Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34052,Black,M,U,U,U,U,U
Public Initiated,2017-0120-P,2017/2/22,2017/3/6,2017/6/12,DI-1,Completed,Not Sustained,ISB - Investigative Services Bureau,U,U,U,Regular Working,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34054,White,M,U,U,F,B,U
Public Initiated,2017-0119-P,U,2017/2/26,2017/8/29,DI-1,Completed,Other,FOB - Field Operations Bureau,1st District,Staff,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34056,White,F,U,U,F,B,U
Public Initiated,2017-0092-P,U,2017/2/9,2017/6/12,DI-1,Completed,Other,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,,Unknown Shift Hours,NO VIOLATION OBSERVED,U,34058,Black,M,U,U,M,B,U
Public Initiated,2017-0076-N,U,2017/2/3,2017/6/12,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34061,Black,F,U,U,F,B,U
Public Initiated,2023-0049-P,2023/1/25,2023/2/1,2023/3/28,DI-1,Completed,Not Sustained,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34064,Not Specified,U,U,U,M,U,U
Public Initiated,2023-0049-P,2023/1/25,2023/2/1,2023/3/28,DI-1,Completed,Not Sustained,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34076,Not Specified,U,U,U,F,B,U
Rank Initiated,2017-0080-D,U,2017/2/6,2017/2/15,DI-2,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,34077,Black,F,U,U,U,U,U
Public Initiated,2017-0059-P,U,2017/1/30,2018/5/9,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34079,Black,M,U,U,M,B,U
Public Initiated,2017-0059-P,U,2017/1/30,2018/5/9,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34081,Black,M,U,U,M,B,U
Rank Initiated,2023-0066-R,U,2023/2/6,2023/5/8,DI-1,Completed,Unfounded,ISB - Investigative Services Bureau,Central Evidence and Property,Central Evidence & Property Section,Adminstrative Staff,Regular Working,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34083,Not Specified,U,U,U,U,U,U
Public Initiated,2017-0059-P,U,2017/1/30,2018/5/9,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34085,White,M,U,U,M,B,U
Public Initiated,2017-0059-P,U,2017/1/30,2018/5/9,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34100,Black,M,U,U,M,B,U
Public Initiated,2017-0043-P,U,2017/1/26,U,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,7th District,Night Watch,U,Unknown Working Status,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34108,Black,M,U,U,M,B,U
Public Initiated,2017-0014-P,U,2017/1/26,2017/6/15,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34109,Black,M,U,U,M,W,U
Public Initiated,2017-0014-P,U,2017/1/26,2017/6/15,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34111,Black,M,U,U,M,W,U
Public Initiated,2017-0007-P,U,2017/1/5,2017/6/13,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,8th District,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,34113,Black,F,U,U,F,B,U
Public Initiated,2016-0782-P,U,2016/12/2,2017/4/20,DI-1,Completed,Unfounded,Office of the Superintendent,Office of the Superintendant,U,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34122,White,M,U,U,F,B,U
Rank Initiated,2016-0781-R,U,2016/12/1,2016/12/2,DI-1,Completed,Other,FOB - Field Operations Bureau,6th District,B Platoon,U,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,U,34124,White,M,U,U,U,U,U
Rank Initiated,2016-0770-R,U,2016/11/23,2017/3/20,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,A Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34125,Black,M,U,U,U,U,U
Public Initiated,2016-0726-N,2016/11/4,2016/11/7,2017/4/12,NFIM,Completed,NFIM,Not - NOPD Officer,Communications Division,U,Not - NOPD Officer,,Unknown Shift Hours,U,U,34126,Black,F,U,U,U,U,U
Public Initiated,2016-0726-N,2016/11/4,2016/11/7,2017/4/12,NFIM,Completed,NFIM,Not - NOPD Officer,Communications Division,U,Not - NOPD Officer,,Unknown Shift Hours,U,U,34131,Black,F,U,U,U,U,U
Rank Initiated,2016-0707-R,U,2016/10/31,2017/1/9,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,Alternative Police Response,Alternative Police Response Unit,Adminstrative Staff,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34134,Black,M,U,U,U,U,U
Public Initiated,2016-0713-P,U,2016/10/21,2017/3/7,DI-1,Completed,Unfounded,U,U,U,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 04 - DISCRIMINATION,34136,White,M,U,U,M,B,U
Public Initiated,2016-0649-P,U,2016/10/3,2016/10/28,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,2nd District,Detailed/Other,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34151,White,M,U,U,F,B,U
Rank Initiated,2016-0698-P,U,2016/11/2,2016/12/19,DI-1,Completed,Other,FOB - Field Operations Bureau,8th District,A Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 11 - Use Of Tabacco,34161,White,M,U,U,U,U,U
Public Initiated,2016-0633-P,U,2016/9/26,2017/5/10,DI-1,Completed,Not Sustained,Office of the Superintendant,Technology Section,Administration,Support Staff,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34229,White,M,U,U,F,W,U
Public Initiated,2016-0629-P,U,2016/9/26,U,DI-1,Active,Pending,FOB - Field Operations Bureau,U,Bourbon Promenade,U,Unknown Working Status,Unknown Shift Hours,RULE 6: OFFICIAL INFO,PARAGRAPH 02 - FALSE OR INACCURATE REPORTS,34230,Black,M,U,U,M,B,U
Public Initiated,2016-0648-P,U,2016/10/4,2019/10/23,DI-1,Completed,Sustained,MSB - Management Service Bureau,Administrative Duties Services,I.O.D.,U,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34235,Black,F,U,U,F,B,U
Public Initiated,2016-0616-P,U,2016/9/28,2017/3/7,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34237,Black,M,U,U,F,B,U
Public Initiated,2016-0616-P,U,2016/9/28,2017/3/7,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,4th District,2nd Platoon,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34238,Black,F,U,U,F,B,U
Rank Initiated,2016-0602-R,U,2016/9/15,2018/10/8,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,Staff,U,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,34239,White,M,U,U,U,U,U
Rank Initiated,2016-0375-D,U,2016/5/27,U,U,Initial,Pending,FOB - Field Operations Bureau,4th District,1st Platoon,U,Unknown Working Status,Unknown Shift Hours,U,U,34257,Black,F,U,U,U,U,U
Rank Initiated,2016-0585-R,U,2016/9/8,2017/3/14,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,8th District,D.I.U.,Property,,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34259,Black,M,U,U,U,U,U
Public Initiated,2016-0580-P,U,2016/8/31,2017/4/12,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,Platoon A,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 03 - DEVOTING ENTIRE TIME TO DUTY,34261,Black,M,U,U,U,U,U
Public Initiated,2016-0580-P,U,2016/8/31,2017/4/12,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Administrative Duties Services,Extended Sick,Platoon A,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 03 - DEVOTING ENTIRE TIME TO DUTY,34265,Black,F,U,U,U,U,U
Rank Initiated,2016-0514-R,U,2016/8/1,2016/12/23,DI-1,Completed,Exonerated,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Central Evidence & Property Section ,Staff,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,34267,Black,F,U,U,U,U,U
